# source	source_id	name	name_translit	modern_name	feature_type	lat	lon	variants
manual	makka	مكة	Mecca	مكة المكرمة، السعودية	city	21.4225	39.8262	مكه المكرمه:variant|بكه:historical|المكي:nisba
manual	madina	المدينة	Medina	المدينة المنورة، السعودية	city	24.4672	39.6111	المدينه المنوره:variant|يثرب:historical|طيبه:historical|المدني:nisba
manual	baghdad	بغداد	Baghdad	بغداد، العراق	city	33.3152	44.3661	مدينه السلام:historical|البغدادي:nisba
manual	dimashq	دمشق	Damascus	دمشق، سوريا	city	33.5138	36.2765	الشام:variant|الدمشقي:nisba
manual	qahira	القاهرة	Cairo	القاهرة، مصر	city	30.0444	31.2357	القاهره المعزيه:historical|القاهري:nisba
manual	fustat	الفسطاط	Fustat	القاهرة القديمة، مصر	city	30.0053	31.2320	فسطاط مصر:variant
manual	basra	البصرة	Basra	البصرة، العراق	city	30.5081	47.7835	البصري:nisba
manual	kufa	الكوفة	Kufa	الكوفة، العراق	city	32.0342	44.4006	الكوفي:nisba
manual	nishapur	نيسابور	Nishapur	نیشابور، إيران	city	36.2133	58.7958	نيشابور:variant|النيسابوري:nisba
manual	rayy	الري	Rayy	طهران (ري)، إيران	city	35.5892	51.4344	الرازي:nisba
manual	isfahan	أصبهان	Isfahan	أصفهان، إيران	city	32.6539	51.6660	اصفهان:variant|الأصبهاني:nisba|الأصفهاني:nisba
manual	qurtuba	قرطبة	Cordoba	قرطبة، إسبانيا	city	37.8882	-4.7794	القرطبي:nisba
manual	gharnata	غرناطة	Granada	غرناطة، إسبانيا	city	37.1773	-3.5986	الغرناطي:nisba
manual	ishbiliya	إشبيلية	Seville	إشبيلية، إسبانيا	city	37.3891	-5.9845	الإشبيلي:nisba
manual	tulaytula	طليطلة	Toledo	طليطلة، إسبانيا	city	39.8628	-4.0273	الطليطلي:nisba
manual	balansiya	بلنسية	Valencia	بلنسية، إسبانيا	city	39.4699	-0.3763	البلنسي:nisba
manual	saraqusta	سرقسطة	Zaragoza	سرقسطة، إسبانيا	city	41.6488	-0.8891	السرقسطي:nisba
manual	mariyya	المرية	Almeria	المرية، إسبانيا	city	36.8340	-2.4637	المريي:nisba
manual	malaqa	مالقة	Malaga	مالقة، إسبانيا	city	36.7213	-4.4213	المالقي:nisba
manual	andalus	الأندلس	al-Andalus	إسبانيا والبرتغال	region	40.4637	-3.7492	الأندلسي:nisba
manual	fas	فاس	Fez	فاس، المغرب	city	34.0181	-5.0078	الفاسي:nisba
manual	marrakush	مراكش	Marrakesh	مراكش، المغرب	city	31.6295	-7.9811	المراكشي:nisba
