# Curated regnal periods for relative dating (في خلافة المأمون → hijri range).
# Columns: ruler surface (matched as normalized substring) \t hijri_start \t hijri_end
# Century-level granularity is the goal — approximate reign bounds are fine.
أبو بكر الصديق	11	13
عمر بن الخطاب	13	23
عثمان بن عفان	23	35
علي بن أبي طالب	35	40
معاوية بن أبي سفيان	41	60
يزيد بن معاوية	60	64
عبد الملك بن مروان	65	86
الوليد بن عبد الملك	86	96
سليمان بن عبد الملك	96	99
عمر بن عبد العزيز	99	101
هشام بن عبد الملك	105	125
السفاح	132	136
المنصور	136	158
المهدي	158	169
الهادي	169	170
هارون الرشيد	170	193
الأمين	193	198
المأمون	198	218
المعتصم	218	227
الواثق	227	232
المتوكل	232	247
المعتضد	279	289
المكتفي	289	295
المقتدر	295	320
القادر بالله	381	422
القائم بأمر الله	422	467
المستنصر بالله	623	640
نور الدين زنكي	541	569
صلاح الدين	564	589
الظاهر بيبرس	658	676
قلاوون	678	689
الناصر محمد بن قلاوون	693	741
برقوق	784	801
الأشرف برسباي	825	841
قايتباي	872	901
قانصوه الغوري	906	922
سليم الأول	918	926
سليمان القانوني	926	974
محمد الفاتح	855	886
عبد الحميد الثاني	1293	1327
محمد علي باشا	1220	1264
